paraula,dificultat
en,1
acabdillar,3
acabdillament,3
acaçar,3
acaçament,3
acàcia,3
acadèmia,2
acadèmicament,3
academicisme,3
academicista,3
acalar,3
acalorar,3
acaloradament,3
acalorament,3
acalorat,3
acampanat,3
acampar,2
acampada,2
acampador,3
acanalar,3
acanalat,3
acanar,3
acanament,3
acant,3
acaparar,3
acaparador,3
acaparament,3
acaptar,3
acapte,3
àcar,3
acaramel·lar,3
acaramel·lat,3
acaramullar,3
acarar,3
acarament,3
acariciar,3
acariciador,3
acarnissar,3
acarnissament,3
acaronar,3
acaronador,3
acaronament,3
acarrerar,3
acatar,2
acatament,3
acatarrar,3
acaule,3
accedir,2
accelerar,2
acceleració,2
accelerador,2
accelerament,3
accent,2
accent,2
accent,2
accent,2
accent,2
posar,1
accentual,3
accentuar,3
accentuació,3
accentuat,3
accepció,2
acceptar,2
acceptable,2
acceptació,2
inacceptable,2
accés,1
accessible,2
accessibilitat,2
inaccessibilitat,3
inaccessible,3
accèssit,3
accessòriament,3
accident,2
per,1
accidental,2
accidentalment,2
accidentar,3
accidentat,2
acció,1
accionament,3
accionar,3
accionariat,3
accionista,2
accipítrid,3
acefàlia,3
acer,2
acer,2
aceràcia,3
acerat,3
acerb,3
acerbament,3
acereria,3
acèrrim,3
acetat,3
acetat,3
acetat,3
acètic,3
acetona,3
ací,2
acícula,3
acicular,3
àcid,2
àcid,2
àcid,2
àcid,2
àcid,2
àcid,2
àcid,2
àcid,2
àcid,2
àcid,2
àcid,2
àcid,2
àcid,2
acidesa,2
aciditat,3
acídul,3
aclamació,2
per,1
aclamar,3
aclaparament,3
aclaparar,3
aclaparador,2
aclarida,3
aclarir,2
aclaridor,3
aclariment,2
aclimatar,3
aclimatable,3
aclimatació,3
aclimatament,3
aclivellar,3
aclofar,3
aclofament,3
aclucar,3
aclucar,3
aclucada,3
aclucament,3
acme,3
acne,3
acneic,3
açò,2
acoblar,3
acoblable,3
acoblament,3
acòlit,3
acollidor,2
acollir,2
acollença,3
acollida,2
acolliment,2
acollonar,3
acollonir,3
acolorir,3
acoloriment,3
acolorit,3
acomboiar,3
acomiadar,2
acomiadament,2
acomodador,3
acomodar,2
acomodament,3
acomodat,3
acomodatici,3
acompanyament,2
acompanyar,2
acompanyant,2
acomplexar,3
acomplir,2
acompliment,3
acompte,3
aconduir,3
aconduïment,3
aconfessional,3
aconfessionalitat,3
aconseguidor,3
aconseguir,1
aconseguiment,3
consecució,2
aconsellar,2
aconsellable,2
acontentar,3
acontentament,3
acoquinar,3
acoquinament,3
acorament,3
acorar,3
acord,1
acord,1
posar,1
prendre,1
acordar,2
acordió,2
acordionista,3
acordonar,3
acordonament,3
acorralar,3
acorralament,3
acórrer,3
acostar,2
acostament,2
acostumar,2
acostumament,3
acostumat,2
acostumadament,3
desacostumat,3
inacostumat,3
acotació,3
acotar,3
acotament,3
acotxador,3
acotxar,3
acovardir,3
acovardiment,3
acràcia,3
acràtic,3
àcrata,3
acritud,3
acreditació,2
acreditar,2
acreditatiu,3
acréixer,3
acreixement,3
acriaturat,3
acrídid,3
acrimònia,3
acrobàcia,3
acrobàtic,3
acròbata,3
acrobatisme,3
acrofòbia,3
acrònim,2
acròpoli,3
acròpolis,3
acta,2
acte,1
a,1
acte,1
acte,1
acte,1
acte,1
fer,1
actini,3
actínia,3
actínid,3
actinídia,3
actitud,2
en,1
activament,2
actiu,2
actiu,2
activar,2
activació,2
activador,3
activisme,2
activista,2
activitat,1
actuació,2
actual,1
actualitat,2
actualitzar,2
actualització,2
actualment,1
actuar,2
actuant,2
acubar,3
acubament,3
acudir,2
acudit,2
acufen,3
acuit,3
acuitar,3
acuïtat,3
acular,3
aculeat,3
aculi,3
acúmetre,3
acumetria,3
acumular,2
acumulació,2
acumulador,3
acumulatiu,3
acupuntor,3
acupuntura,3
acurat,2
acuradament,2
acurçar,3
acurtar,3
acusació,2
acusatori,3
acusador,3
acusar,2
acusar,2
acusat,2
acústic,2
acústica,2
acutangle,3
ad,2
ad,2
ad,2
adagi,3
adamantí,3
adaptació,2
inadaptació,3
adaptar,2
adaptable,3
adaptador,2
inadaptabilitat,3
inadaptable,3
readaptar,3
addenda,3
addicció,2
addició,2
addicional,2
addicionar,3
addicte,2
addictiu,3
additament,3
adduir,3
adducció,3
adductor,3
adduïble,3
adelerat,3
adelitar,3
ademusser,3
adenitis,3
adenoide,3
adenoidectomia,3
adenoides,3
adenoïditis,3
adepte,3
adequar,2
adequació,2
adequat,2
adequadament,2
inadequat,2
adés,3
adés,3
adesiara,3
adherència,3
adherent,3
adherir,2
adhesió,2
adhesivitat,3
àdhuc,2
adient,2
adinerat,3
adipós,3
adipositat,3
adiposi,3
adir,3
adjacent,2
adjectiu,2
adjectiu,2
adjectiu,2
adjectiu,2
adjectival,3
adjectivament,3
adjectivar,3
adjectivació,3
adjudicar,2
adjudicació,2
adjudicatari,3
adjuntar,3
adjunció,3
adjurar,3
adjuració,3
adjutori,3
adlàter,3
admetre,2
admissible,3
inadmissible,2
adminicle,3
administració,1
administració,1
administratiu,2
administrar,2
administrador,2
administrativament,3
admirable,2
admirablement,3
admiració,2
admirar,2
admirador,2
admiratiu,3
admissió,2
admonició,3
adob,2
tenir,1
adobador,3
adobar,3
adobament,3
adober,3
adoberia,3
adoctrinar,3
adoctrinador,3
adoctrinament,2
adolescència,2
adolescent,2
adolorir,3
adoloriment,3
adolorit,3
adonar,2
adonis,2
adoptand,3
adoptant,2
adoptar,2
adopció,2
adoptiu,2
adorable,3
adorablement,3
adoració,2
adorar,3
adorador,3
adormir,2
adormidor,3
adormiment,3
adormit,2
adorn,3
adornament,3
adornar,3
adossar,3
adossament,3
adotzenat,3
adquirir,2
adquirent,3
adquirible,3
adquisició,2
adquisitiu,2
adreç,3
adreça,2
adreça,2
adreçar,2
adreçament,3
adrenalina,2
adriàtic,3
adroguer,3
adrogueria,3
adscriure,3
adscripció,3
adstrat,3
adular,3
adulació,3
adulador,3
adult,2
adúlter,3
adulterar,3
adulterable,3
adulteració,3
adulterador,3
adulterí,3
adulteri,2
adust,3
adustesa,3
adveniment,3
advenir,3
advent,3
adventici,3
adventisme,3
adventista,3
adverar,3
adverbi,3
adverbi,3
adverbial,3
adverbialment,3
adverbialitzar,3
adverbialització,3
advers,3
adversament,3
adversari,2
adversatiu,3
adversitat,2
advertència,2
advertiment,2
advertir,2
advertidor,3
inadvertidament,3
inadvertit,3
advocacia,2
advocació,2
advocadessa,3
advocar,3
advocat,2
advocat,2
advocat,2
aerobús,3
aerodina,3
aerodinàmic,3
aerodinàmica,3
aeròdrom,2
aeroespacial,3
aerofòbia,3
aerògraf,3
aerografia,3
aerolínia,2
aeròlit,3
aerolliscador,3
aeròmetre,3
aerometria,3
aeromètric,3
aeronau,2
aeronauta,3
aeronàutica,2
aeronàutic,3
aeroplà,3
aeroport,2
aerosol,3
aeròstat,3
aerostàtic,3
aerostàtica,3
aerotaxi,3
aerotècnia,3
aerotransport,3
aerotrèn,3
afable,3
afabilitat,3
afablement,3
afaenat,3
afaiçonar,3
afaiçonament,3
afaitar,2
afaitada,3
afaitament,3
afaitat,3
afalac,3
afalagar,3
afalagador,3
afalagament,3
afamat,3
afamegat,3
afanar,3
afany,2
afanyar,2
afanyós,3
afartar,3
afartament,3
afàsia,3
afàsic,3
afavorir,2
afavoridor,3
afavoriment,3
afeblir,2
afeblidor,3
afebliment,3
afecció,2
desafecció,3
afeccionar,3
afeccionat,3
afectació,2
afectar,2
afectat,2
afectadament,3
desafecte,3
afectiu,3
afectivitat,3
afectuós,2
afectuosament,3
afectuositat,3
afegidura,3
afegiment,3
per,1
afegir,2
afegir,2
afegit,2
afegitó,3
afeixugar,3
afeli,3
afemellat,3
afer,2
afers,2
afèresi,3
afermar,3
afermament,3
aferrar,3
aferradís,3
aferrament,3
aferrissar,3
aferrissament,3
aferrissat,3
aferrissadament,3
afí,2
afiblall,3
afició,2
aficionar,3
aficionat,2
afídid,3
afigurar,3
afilador,3
afilar,3
afilerar,3
afiliar,2
afiliable,3
afiliació,2
afillar,3
afillament,3
afillat,3
afil·le,3
afil·loforat,3
afinador,3
afinar,2
afinació,3
afinament,3
afinitat,2
afirmar,2
afirmació,2
afirmatiu,3
afirmativament,3
afirmativa,3
afitorar,3
afix,3
afix,3
afix,3
afixar,3
afixació,3
aflacar,3
aflamar,3
aflaquir,3
aflautat,3
aflicció,3
afligir,3
aflictiu,3
afligidor,3
aflorament,3
aflorar,3
afluir,3
afluència,2
afluixar,2
afluixar,2
afluixar,2
afluixament,3
afogar,3
afollar,3
afonar,3
afonia,3
afònic,3
aforament,2
aforar,3
aforat,3
afores,2
aforisme,3
aforístic,3
aforística,3
afortunadament,2
afortunat,2
afòtic,3
afrancesar,3
afrancesament,3
afranquir,3
afranquiment,3
afrau,3
africà,2
africanisme,3
africanista,3
africat,3
afrikaans,3
afrikàner,3
afroamericà,3
afront,3
afrontar,2
afrontament,3
afrontós,3
afruitat,3
afuar,3
afuament,3
afuat,3
afusellar,2
afusellament,2
agabellar,3
agabellador,3
agabellament,3
agafada,2
agafador,3
agafar,2
agafar,2
agafar,2
agafar,2
agafar,2
agafar,2
agafatós,3
àgape,3
agapornis,3
agarbar,3
agarbonar,3
agàric,3
agarical,3
agarrada,3
agarrar,3
agarrat,3
agarrotar,3
àgata,3
agavàcia,3
agave,3
agegantar,3
agegantat,3
agençar,3
agençament,3
agència,2
agenciar,3
agenda,2
agenollador,3
agenollar,3
agenollament,3
agent,2
agent,2
agent,2
agentiu,3
agermanar,3
agermanament,2
àgil,2
agilitat,2
àgilment,3
agilitar,3
agilitació,3
agilitzar,3
agitanat,3
agitar,3
agitació,2
agitat,3
aglà,3
aglomeració,3
aglomerant,3
aglomerar,3
aglomerat,3
aglutinar,3
aglutinació,3
aglutinador,3
agnació,3
agnat,3
agnòstic,3
agnosticisme,3
agombolar,3
agombolament,3
agonia,2
agònic,3
agonitzar,3
agonitzant,3
àgora,2
agorafòbia,3
agosarat,2
agosaradament,3
agosarament,3
agost,1
fer,1
agostenc,3
agostar,3
agostejar,3
agraciar,3
agraciat,3
agradable,2
agradabilitat,3
agradablement,3
agradar,2
agradívol,3
agradós,3
agraïment,2
agrair,2
agraït,2
agram,3
agranar,3
agrari,2
agràs,3
agrassó,3
agrament,3
agror,3
agredir,2
agressor,2
agregar,2
agregació,3
agrejar,3
agrella,3
agremiar,3
agremiació,3
agrenc,3
agressió,2
agressiu,2
agressivament,3
agressivitat,2
agrest,3
agreujar,2
agreujament,3
agreujant,3
agrícola,2
agricultor,3
agricultura,2
agrimensor,3
agrimensura,3
agrir,3
agrisar,3
agroalimentari,2
agrònom,3
agronomia,3
agronòmic,3
agropecuari,3
agroturisme,3
agrumollar,3
agrupació,2
agrupament,2
agrupar,2
aguait,3
a,1
aguaitar,3
aguant,3
aguantallibres,3
aguantar,2
aguantar,2
inaguantable,3
agudesa,2
aguditzar,3
agudització,3
aguerrit,3
aguilenc,3
aguiló,2
aguilot,3
agulla,2
agulla,2
agulla,2
agullat,3
agulleta,3
agulló,2
agusar,3
agustí,2
agustinià,3
agustinisme,3
agutzil,3
ah,2
ahí,2
ahir,1
amb,1
ai,2
aiatol·là,3
aidar,3
aigua,1
aigua,1
aigua,1
aigua,1
aigua,1
aigua,1
aigua,1
aigua,1
aigua,1
aigua,1
aigües,2
aigües,2
aigües,2
aigües,2
aigües,2
aigües,2
aigües,2
amb,1
fer,1
fer,1
aiguabarreig,3
aiguabarrejar,3
aiguacuit,3
aiguada,3
aiguafons,3
aiguafort,3
aigualera,3
aigualir,3
aigualit,3
aiguamans,3
aiguamarina,3
aiguamel,3
aiguamoll,2
aiguanaf,3
aiguaneu,3
aiguardent,2
aiguardent,2
aiguardentós,3
aiguarràs,3
aiguat,3
aiguatge,3
aiguavés,3
aiguavessant,3
aigüera,3
aigüerol,3
aïllacionisme,3
aïllacionista,3
aïllament,2
aïllar,2
aïllable,3
aïlladament,3
aïllador,3
aïllant,2
aïllat,2
aimia,3
ain,3
aiorí,3
airada,3
aïrar,3
a,1
a,1
aire,2
aires,2
en,1
tenir,1
airejar,3
aireig,3
airós,3
airosament,3
desairós,3
aital,3
aixà,3
aixa,3
aixada,3
aixadell,3
aixadella,3
aixafadissa,3
aixafament,3
aixafar,2
aixafar,2
aixafada,3
aixafaterrossos,3
aixarop,3
aixecador,3
aixecar,2
aixecar,2
aixecar,2
aixecar,2
aixecar,2
aixecar,2
aixecar,2
aixecar,2
aixecar,2
aixecar,2
el,1
no,1
aixecada,2
aixecament,2
aixecat,2
aixella,3
aixeta,2
aixeteria,3
així,1
així,1
així,1
així,1
així,1
així,1
així,1
així,1
això,1
això,1
això,1
i,1
per,1
aixopluc,2
aixoplugar,3
aixovar,3
aïzoàcia,3
ajaçar,3
ajeure,3
ajocar,3
ajornar,2
ajornable,3
ajornament,2
inajornable,3
ajuda,1
amb,1
ajudant,2
ajudantia,3
ajudar,1
ajudar,1
ajuntament,1
ajuntar,2
ajupir,3
ajupiment,3
ajust,2
ajustar,2
desajustar,3
reajustament,3
reajustar,3
ajustat,2
ajusticiar,3
ajusticiament,3
ajut,2
al,1
ala,2
donar,1
en,1
alabar,3
alabat,3
alabança,3
alabarda,3
alabarder,3
alabastre,3
alabastrí,3
alabatre,3
alabès,3
alacaigut,3
alacantí,2
alacrà,3
aladern,3
aladre,3
aladroc,3
alambí,3
alambinar,3
alarb,3
alardó,3
alarit,3
alarma,2
falsa,2
alarmar,3
alarmant,2
alarmisme,3
alarmista,3
alat,3
alatrencat,3
alatxa,3
alàudid,3
alb,3
alba,2
albada,2
albarà,3
albarda,3
albat,3
albatros,3
albelló,3
àlber,3
albera,2
albercoquer,3
albereda,3
alberg,2
albergar,2
albergínia,2
alberginiera,3
albergueria,3
alberguista,3
albí,3
albigès,3
albinisme,3
albir,3
albirar,2
albó,3
albor,3
albufera,2
albuferenc,3
àlbum,2
albumen,3
albúmina,3
albuminoide,3
albuminós,3
albuminúria,3
a,1
a,1
alçacoll,3
alçacortina,3
alçada,2
alcaid,3
alcaidia,3
alcaldable,3
alcaldada,3
alcaldia,2
alcalí,3
alcalinitat,3
àlcali,3
alcaloide,3
alçaprem,3
fer,1
alçapremar,3
alçar,2
alçar,2
alçar,2
alçar,2
alçar,2
alçar,2
alçar,2
alçar,2
el,1
no,1
alçament,2
alçària,3
alçària,3
alcassaba,3
alcàsser,2
alçavidres,3
alcavot,3
alcavotejar,3
alcavoteria,3
alcedínid,3
àlcid,3
alcionari,3
alcohol,2
alcohol,2
alcoholèmia,3
alcohòlic,2
alcoholímetre,3
alcoholisme,2
alcoholitzar,3
alcoholització,3
alcoià,2
alcorà,2
alcorànic,3
alcorí,3
alcova,3
aldarull,3
alduf,3
alè,2
alè,2
aleatori,2
aleatòriament,3
àlef,3
alefat,3
alegrar,2
alegre,2
alegrement,3
alegria,2
alegrois,3
alejar,3
alenada,3
alenar,3
alentir,3
alentiment,3
àlep,3
aleró,3
alertar,2
aleshores,1
aleta,3
fer,1
aletejar,3
aleteig,3
alfa,2
alfàbega,3
alfabeguera,3
alfabet,2
alfabet,2
alfabètic,3
alfabèticament,3
alfabetitzar,3
alfabetització,2
alfàbia,3
alfàbrega,3
alfac,3
alfals,3
alfange,3
alfanumèric,3
alferes,2
alfil,2
alfonsí,3
alforja,3
alga,3
algàlia,3
àlgebra,2
algebraic,3
algèbric,3
algebrista,3
algeps,3
algerí,3
algerià,2
àlgia,3
algicida,3
àlgid,2
algologia,3
algorisme,2
algorísmic,3
algoritme,2
algorítmic,3
algú,1
alguer,2
algun,1
algutzir,3
alhora,2
aliacrà,3
aliança,2
aliar,2
aliatge,2
alicatat,3
alicates,3
aliè,2
alienar,3
alienable,3
alienació,3
alienador,3
alienant,3
inalienable,3
alienat,3
alienígena,3
àlif,3
alifat,3
àliga,2
aligó,3
aligot,3
aliment,2
alimentació,2
alimentar,2
alimentador,3
alimentari,2
alimentós,3
alineació,2
alineament,3
alinear,2
alineat,2
aliret,3
alís,3
alisis,3
aljava,3
aljub,3
all,2
allà,1
allà,1
allà,1
allada,3
allargador,3
allargar,2
allargar,2
allargar,2
allargament,3
allargassar,3
allargat,2
allargs,3
donar,1
allargues,3
donar,1
allau,2
al·legació,2
al·legar,2
al·legat,3
al·legoria,3
al·legòric,3
al·legòricament,3
allegretto,3
allèn,3
al·lèrgia,2
al·lèrgic,3
allet,3
alletament,3
alletar,3
alleugerar,3
alleugerir,2
alleugeridor,3
alleugeriment,3
alleujar,2
alleujador,3
alleujament,2
allí,2
alliberar,2
alliberació,2
alliberador,2
alliberament,2
al·licient,3
alliçonar,3
alliçonador,3
alliçonament,3
al·ligàtor,3
allioli,2
allipebre,3
allisada,3
allisar,3
allistar,2
allistament,3
allitar,3
allitament,3
al·literació,3
allò,1
ésser,2
al·locució,3
al·lòfon,3
al·lofònic,3
al·lomorf,3
al·lòpata,3
al·lopatia,3
al·lopàtic,3
al·lot,3
al·lotada,3
al·lotam,3
allotjament,2
allotjar,2
al·lucinació,3
al·lucinatori,3
al·lucinar,3
al·lucinant,2
al·ludir,3
allunar,3
allunatge,3
allunyar,2
allunyament,2
allunyat,2
al·lusió,2
al·lusiu,3
al·luvió,3
al·luvial,3
almadrava,3
almanac,3
almanco,3
almàssera,3
almasserer,3
almenys,2
almesc,3
almirall,2
almirallat,3
almívar,3
almogàver,3
almoina,2
almoiner,3
almorratxa,3
almosta,3
aloc,3
àloe,3
aloètic,3
alopècia,3
alosa,3
alpaca,3
alpestre,3
alpí,2
alpinisme,2
alpinístic,3
alpinista,2
alquena,3
alqueria,2
alquímia,2
alquímic,3
alquimista,3
anar,1
alts,2
alta,1
donar,1
altament,2
altar,2
altaveu,2
altell,3
alter,2
alter,2
alteració,2
alterament,3
alterar,2
alterable,3
inalterabilitat,3
inalterable,3
altercar,3
altercació,3
altercat,3
altern,3
alternador,3
alternar,3
alternació,3
alternança,2
alternant,2
alternat,3
alternatiu,2
alternativament,2
alternativa,2
alterós,3
altesa,2
altímetre,3
altimetria,3
altimètric,3
altiplà,2
altisonant,3
altitud,2
altiu,3
altivament,3
altivesa,3
altivitat,3
altivar,3
altívol,3
alto,2
altocúmul,3
altocúmulus,3
altoestrat,3
altoestratus,3
altrament,2
tots,1
els,1
fins,1
tot,1
tot,1
altri,3
altruisme,3
altruista,3
altura,2
a,1
aluda,3
alúmina,3
alumini,2
alumnat,2
alumne,2
alumne,2
alumne,2
alvèol,3
alveolar,3
alveolat,3
alvocat,3
alvocater,3
alzina,2
alzina,2
alzinat,3
alzinera,3
alzinoi,3
alzireny,3
ama,2
amabilitat,2
amable,2
amablement,2
amagadament,3
amagar,2
amagar,2
amagament,3
amagat,2
amagatall,2
amagatotis,3
amagrir,3
amainar,3
amainar,3
amalgama,3
amalgamar,3
amanerament,3
amanerar,3
amanerat,3
amanida,2
amaniment,3
amanir,3
amanita,3
amanós,3
amansar,3
amansir,3
amansiment,3
amanuense,3
amanyagar,3
amanyac,3
amar,2
amador,2
amarant,3
amarantí,3
amarar,3
amarament,3
amaratge,3
amarg,2
amargament,3
amargor,3
amarguesa,3
amargantor,3
amargar,3
amargós,3
amarguejar,3
amargura,3
amaril·lidàcia,3
amarra,3
amarrar,3
amarrada,3
amarratge,3
amàs,3
amassar,3
amatent,3
amateur,2
amatori,3
amazona,3
amb,1
ambaixada,2
ambaixador,2
ambarí,3
ambdós,2
ambició,2
ambicionar,3
ambiciós,2
ambidextre,3
ambiental,2
ambientador,3
ambientar,3
ambientació,2
ambigu,2
ambiguament,3
ambigüitat,2
àmbit,2
ambivalent,3
ambivalència,3
ambosta,3
ambrat,3
ambre,2
ambre,2
ambrosia,3
ambulacre,3
ambulacral,3
ambulància,2
ambulant,2
amè,3
amenitat,3
ameba,3
amén,2
amenaça,2
amenaçador,3
amenaçar,2
amenitzar,3
amenorrea,3
amenorreic,3
ament,3
amerar,3
americà,2
americana,2
americanisme,3
americanitzar,3
americanització,3
amerindi,3
ametla,3
ametler,3
ametlla,2
ametller,2
ametllerar,3
ametlló,3
amfetamina,3
amfibologia,3
amfibològic,3
amfiteatre,2
amfitrió,2
àmfora,3
amiant,2
amical,2
amicalment,3
amidar,3
amidament,3
amigable,3
amigablement,3
amígdala,3
amígdala,3
amígdala,3
amigdalectomia,3
amigdalitis,3
amiguisme,3
amilaci,3
amina,3
aminoàcid,2
amistança,3
amistançar,3
amistançament,3
amistançat,3
amistat,2
fer,1
amistós,2
amistosament,3
amnèsia,2
amnèsic,3
amni,3
àmnic,3
amniocentesi,3
amniòtic,3
amnistia,2
amnistiar,3
amo,2
amoïnar,3
amoïnador,3
amoïnament,3
amoïnós,3
amoixador,3
amoixar,3
amollar,3
amollir,3
amonal,3
amonestació,3
amonestar,3
amoni,3
amoníac,2
amoniacal,3
amònic,3
amor,1
amor,1
amor,1
amor,1
fer,1
per,1
per,1
per,1
amoral,3
amoralitat,3
amoret,3
amoreta,3
amorf,3
amorós,2
amorosament,3
amorositat,3
amorosir,3
amorrar,3
amortallador,3
amortallar,3
amortallament,3
amortir,3
amortidor,3
amortiment,3
amortitzar,3
amortitzable,3
amortització,3
amotinar,3
ampere,3
amperímetre,3
amperòmetre,3
ampit,3
amplada,2
amplària,3
amplament,3
a,1
ampli,2
àmpliament,2
ampliar,2
ampliable,3
ampliació,2
ampliador,3
amplificació,3
amplificar,3
amplificador,2
amplitud,2
ampolla,2
ampoller,3
ampolleta,3
ampostí,3
amprar,3
ampul·la,3
ampul·lós,3
ampul·losament,3
ampul·lositat,3
amputar,3
amputació,3
amulet,3
més,1
per,1
amunt,2
amuntegar,3
amuntegament,3
amuntonar,3
amura,3
anabolisme,3
anacard,3
anacardiàcia,3
anacolut,3
anaconda,3
anacoreta,3
anacorètic,3
anacrònic,3
anacronisme,3
anaeròbic,3
anàfora,3
anafòric,3
anagrama,2
anagramàtic,3
anal,2
anàleg,3
anàlogament,3
analfabet,3
analfabetisme,3
analgèsia,3
anàlisi,2
anàlisi,2
anàlisi,2
analista,2
analític,3
analíticament,3
analítica,2
analitzar,2
analitzable,3
analogia,2
analògic,3
analògicament,3
anamnesi,3
ananàs,3
anants,3
anants,3
anar,1
anar,1
anar,1
anar,1
anar,1
anar,1
anar,1
anar,1
com,1
fer,1
fer,1
no,1
quan,1
ves,2
anada,2
anarquia,3
anàrquic,3
anàrquicament,3
anarquisme,2
anarquista,2
anarquitzant,3
anatematitzar,3
anàtid,3
anatomia,2
anatòmicament,3
anatomista,3
anca,3
ancestral,2
ancestre,3
ancià,2
ancianitat,3
àncora,2
àncora,2
ancorar,3
ancoratge,3
andalús,2
andalusí,3
andana,2
andanada,3
andantino,3
andes,2
andorrà,2
androcentrisme,3
androceu,3
androfòbia,3
androgen,3
androgin,3
andròleg,3
andrologia,3
andròmina,3
androna,3
ànec,2
ànec,2
ànec,2
ànec,2
ànec,2
ànec,2
fer,1
anècdota,2
anecdotari,3
anecdòtic,3
àneda,3
anedó,3
ànega,3
aneguet,3
anell,2
anell,2
com,1
anella,2
anellar,3
anellat,3
anèl·lid,3
anèmia,2
anèmic,3
anemògraf,3
anemografia,3
anemòmetre,3
anemometria,3
anemomètric,3
anemone,3
anemoscopi,3
anestèsia,2
anestesiar,3
anestesista,3
anet,3
aneurisma,3
anfós,3
àngel,2
àngel,2
àngel,2
àngel,2
àngela,2
àngela,2
angelets,2
angèlic,3
angèlica,3
angelical,3
angelot,3
àngelus,3
angina,3
angina,3
angiòleg,3
angiologia,3
angioma,3
angiosperm,3
angiosperma,3
angle,2
anglicà,3
anglicanisme,3
anglicisme,3
anglicitzar,3
anglòfon,3
angloparlant,3
anglosaxó,2
angoixa,2
angoixar,3
angoixant,3
angoixós,3
angoixosament,3
angolès,3
angora,3
angorina,3
angost,3
anguila,3
angula,3
angular,2
angulós,3
angulositat,3
angúnia,2
fer,1
anguniar,3
anguniejar,3
anguniós,3
anguniosament,3
anhel,2
anhelar,3
anhelós,3
anhelosament,3
anhídrid,3
anhídrid,3
anihilar,3
anihilació,3
anihilador,3
anihilament,3
ànim,2
ànima,2
ànima,2
animació,2
animadversió,3
animal,2
animalada,3
animaler,3
animàlia,3
animalisme,3
animalitat,3
animar,2
animador,3
animat,2
inanimat,3
animeta,3
anímic,3
animisme,3
animista,3
animós,3
animosament,3
animositat,3
anió,3
aniquilar,3
aniquilació,3
aniquilament,3
anís,3
anís,3
anisat,3
anisosil·làbic,3
anit,2
anit,2
anivelladora,3
anivellar,3
anivellació,3
anivellador,3
anivellament,3
desnivellar,3
aniversari,2
annalista,3
annals,3
ànnera,3
annexar,3
annexió,3
annexionar,3
ànode,3
anòdic,3
anodí,3
anoditzar,3
